"","G","fV","betaV","betaH","kstarN","phi","Protein_intake","Lipid_intake","lipid_absorption_efficiency","protein_absorption","lipid_absorption","Respiration","Excretion","Pellet_C","Pellet_N","Growth_G","Growth_N","G.2"
"39",0.006,0.38,0.858,0.665,0.6119194,0,0.0691811135372894,0.0143988729317949,0.858,0.665,0.0593573954149943,0.00957525049964363,0.0629326459146379,0.0148886931475036,0.0146473405544464,0.00265505895197165,0.006,0.00115384615384615
"40",0.006,0.39,0.858,0.665,0.6119194,0,0.0693604753134855,0.0141653462004965,0.858,0.665,0.0595112878189706,0.00941995522333017,0.0629312430423007,0.0149302856891189,0.0145945784716813,0.00266194256608512,0.006,0.00115384615384615
"41",0.006,0.4,0.858,0.665,0.6119194,0,0.0695398045075016,0.0139318618907785,0.858,0.665,0.0596651522674364,0.00926468815736773,0.0629298404248041,0.0149718706751907,0.014541825973476,0.00266882492974736,0.006,0.00115384615384615
"42",0.006,0.41,0.858,0.665,0.6119194,0,0.0697191011282149,0.0136984199910829,0.858,0.665,0.0598189887680083,0.00910944929407014,0.0629284380620784,0.0150134481077777,0.0144890830572193,0.00267570604329906,0.006,0.00115384615384615
"43",0.006,0.42,0.858,0.665,0.6119194,0,0.0698983651844993,0.0134650204898556,0.858,0.665,0.0599727973283004,0.00895423862575401,0.0629270359540544,0.0150550179889377,0.0144363497203005,0.00268258590708078,0.006,0.00115384615384615
"44",0.006,0.43,0.858,0.665,0.6119194,0,0.0700775966852259,0.013231663375547,0.858,0.665,0.0601265779559238,0.00879905614473873,0.0629256341006626,0.0150965803207279,0.0143836259601103,0.002689464521433,0.006,0.00115384615384615
"45",0.006,0.44,0.858,0.665,0.6119194,0,0.0702567956392625,0.0129983486366113,0.858,0.665,0.0602803306584872,0.0086439018433465,0.0629242325018337,0.0151381351052044,0.0143309117740401,0.00269634188669602,0.006,0.00115384615384615
"46",0.006,0.45,0.858,0.665,0.6119194,0,0.0704359620554733,0.0127650762615072,0.858,0.665,0.0604340554435961,0.00848877571390231,0.0629228311574984,0.0151796823444231,0.0142782071594821,0.00270321800321006,0.006,0.00115384615384615
"47",0.006,0.46,0.858,0.665,0.6119194,0,0.0706150959427195,0.0125318462386976,0.858,0.665,0.0605877523188534,0.00833367774873392,0.0629214300675873,0.0152212220404385,0.0142255121138299,0.00271009287131518,0.006,0.00115384615384615
"48",0.006,0.47,0.858,0.665,0.6119194,0,0.0707941973098594,0.0122986585566494,0.858,0.665,0.0607414212918594,0.00817860794017187,0.0629200292320312,0.015262754195305,0.0141728266344776,0.00271696649135136,0.006,0.00115384615384615
"49",0.006,0.48,0.858,0.665,0.6119194,0,0.0709732661657474,0.0120655132038339,0.858,0.665,0.0608950623702113,0.00802356628054952,0.0629186286507608,0.0153042788110758,0.0141201507188205,0.00272383886365841,0.006,0.00115384615384615
"50",0.006,0.49,0.858,0.665,0.6119194,0,0.0711523025192353,0.0118324101687263,0.858,0.665,0.0610486755615039,0.00786855276220298,0.0629172283237068,0.0153457958898035,0.0140674843642547,0.00273070998857606,0.006,0.00115384615384615
"51",0.006,0.5,0.858,0.665,0.6119194,0,0.0713313063791714,0.0115993494398062,0.858,0.665,0.0612022608733291,0.00771356737747114,0.0629158282508001,0.0153873054335401,0.0140148275681774,0.00273757986644388,0.006,0.00115384615384615
"52",0.006,0.51,0.858,0.665,0.6119194,0,0.0715102777544007,0.0113663310055575,0.858,0.665,0.0613558183132758,0.0075586101186957,0.0629144284319715,0.0154288074443365,0.0139621803279866,0.00274444849760133,0.006,0.00115384615384615
"53",0.006,0.52,0.858,0.665,0.6119194,0,0.0716892166537653,0.0111333548544679,0.858,0.665,0.0615093478889306,0.00740368097822112,0.0629130288671518,0.0154703019242432,0.0139095426410814,0.00275131588238775,0.006,0.00115384615384615
"54",0.006,0.53,0.858,0.665,0.6119194,0,0.0718681230861041,0.0109004209750295,0.858,0.665,0.0616628496078773,0.00724877994839464,0.062911629556272,0.0155117888753099,0.0138569145048617,0.00275818202114237,0.006,0.00115384615384615
"55",0.006,0.54,0.858,0.665,0.6119194,0,0.0720469970602523,0.0106675293557388,0.858,0.665,0.0618163234776965,0.00709390702156627,0.0629102304992628,0.0155532682995853,0.0138042959167283,0.00276504691420428,0.006,0.00115384615384615
"56",0.006,0.55,0.858,0.665,0.6119194,0,0.0722258385850424,0.010434679985096,0.858,0.665,0.0619697695059664,0.00693906219008881,0.0629088316960552,0.0155947401991177,0.0137516868740832,0.00277191056191244,0.006,0.00115384615384615
"57",0.006,0.56,0.858,0.665,0.6119194,0,0.0724046476693034,0.0102018728516057,0.858,0.665,0.0621231877002623,0.00678424544631782,0.0629074331465802,0.0156362045759545,0.013699087374329,0.0027787729646057,0.006,0.00115384615384615
"58",0.006,0.57,0.858,0.665,0.6119194,0,0.0725834243218614,0.00996910794377691,0.858,0.665,0.0622765780681571,0.00662945678261164,0.0629060348507686,0.0156776614321422,0.0136464974148696,0.00278563412262279,0.006,0.00115384615384615
"59",0.006,0.58,0.858,0.665,0.6119194,0,0.0727621685515387,0.00973638525012239,0.858,0.665,0.0624299406172202,0.00647469619133139,0.0629046368085516,0.0157191107697269,0.0135939169931095,0.00279249403630229,0.006,0.00115384615384615
"60",0.006,0.59,0.858,0.665,0.6119194,0,0.0729408803671553,0.00950370475915932,0.858,0.665,0.0625832753550192,0.00631996366484095,0.0629032390198602,0.0157605525907536,0.0135413461064544,0.00279935270598272,0.006,0.00115384615384615
"61",0.006,0.6,0.858,0.665,0.6119194,0,0.0731195597775273,0.00927106645940897,0.858,0.665,0.0627365822891184,0.00616525919550697,0.0629018414846253,0.0158019868972669,0.0134887847523109,0.0028062101320024,0.006,0.00115384615384615
"62",0.006,0.61,0.858,0.665,0.6119194,0,0.0732982067914675,0.00903847033939678,0.858,0.665,0.0628898614270791,0.00601058277569886,0.062900444202778,0.0158434136913104,0.0134362329280863,0.00281306631469956,0.006,0.00115384615384615
"63",0.006,0.62,0.858,0.665,0.6119194,0,0.0734768214177865,0.00880591638765236,0.858,0.665,0.0630431127764608,0.00585593439778882,0.0628990471742495,0.015884832974927,0.0133836906311892,0.00281992125441235,0.006,0.00115384615384615
"64",0.006,0.63,0.858,0.665,0.6119194,0,0.0736554036652901,0.00857340459270946,0.858,0.665,0.0631963363448189,0.00570131405415179,0.0628976503989708,0.015926244750159,0.0133311578590289,0.0028267749514787,0.006,0.00115384615384615
"65",0.006,0.64,0.858,0.665,0.6119194,0,0.0738339535427827,0.00834093494310602,0.858,0.665,0.0633495321397076,0.0055467217371655,0.0628962538768731,0.0159676490190478,0.0132786346090157,0.00283362740623653,0.006,0.00115384615384615
"66",0.006,0.65,0.858,0.665,0.6119194,0,0.0740124710590643,0.00810850742738409,0.858,0.665,0.0635027001686772,0.00539215743921042,0.0628948576078876,0.0160090457836342,0.0132261208785608,0.00284047861902355,0.006,0.00115384615384615
"67",0.006,0.66,0.858,0.665,0.6119194,0,0.074190956222932,0.00787612203408992,0.858,0.665,0.0636558404392757,0.0052376211526698,0.0628934615919455,0.0160504350459581,0.0131736166650765,0.00284732859017739,0.006,0.00115384615384615
"68",0.006,0.67,0.858,0.665,0.6119194,0,0.0743694090431799,0.00764377875177387,0.858,0.665,0.0638089529590484,0.00508311286992962,0.0628920658289779,0.0160918168080588,0.0131211219659758,0.00285417732003555,0.006,0.00115384615384615
"69",0.006,0.68,0.858,0.665,0.6119194,0,0.0745478295285985,0.00741147756899047,0.858,0.665,0.0639620377355375,0.00492863258337866,0.0628906703189162,0.0161331910719748,0.0130686367786728,0.0028610248089354,0.006,0.00115384615384615
"70",0.006,0.69,0.858,0.665,0.6119194,0,0.0747262176879756,0.0071792184742984,0.858,0.665,0.064115094776283,0.00477418028540844,0.0628892750616915,0.0161745578397439,0.0130161611005825,0.0028678710572142,0.006,0.00115384615384615
"71",0.006,0.7,0.858,0.665,0.6119194,0,0.0749045735300956,0.00694700145626048,0.858,0.665,0.064268124088822,0.00461975596841322,0.0628878800572352,0.016215917113403,0.0129636949291208,0.00287471606520907,0.006,0.00115384615384615
"72",0.006,0.71,0.858,0.665,0.6119194,0,0.0750828970637396,0.00671482650344367,0.858,0.665,0.0644211256806886,0.00446535962479004,0.0628864853054787,0.0162572688949886,0.0129112382617047,0.00288155983325703,0.006,0.00115384615384615
"73",0.006,0.72,0.858,0.665,0.6119194,0,0.0752611882976858,0.00648269360441907,0.858,0.665,0.0645740995594145,0.00431099124693868,0.0628850908063531,0.0162986131865361,0.0128587910957518,0.00288840236169497,0.006,0.00115384615384615
"74",0.006,0.73,0.858,0.665,0.6119194,0,0.075439447240709,0.00625060274776193,0.858,0.665,0.0647270457325283,0.00415665082726168,0.06288369655979,0.0163399499900804,0.0128063534286809,0.00289524365085964,0.006,0.00115384615384615
"75",0.006,0.74,0.858,0.665,0.6119194,0,0.0756176739015808,0.00601855392205164,0.858,0.665,0.0648799642075563,0.00400233835816434,0.0628823025657207,0.0163812793076556,0.0127539252579118,0.0029020837010877,0.006,0.00115384615384615
"76",0.006,0.75,0.858,0.665,0.6119194,0,0.0757958682890699,0.00578654711587171,0.858,0.665,0.065032854992022,0.00384805383205469,0.0628809088240766,0.0164226011412949,0.0127015065808649,0.00290892251271566,0.006,0.00115384615384615
"77",0.006,0.76,0.858,0.665,0.6119194,0,0.0759740304119413,0.0055545823178098,0.858,0.665,0.0651857180934456,0.00369379724134352,0.0628795153347892,0.016463915493031,0.0126490973949619,0.00291576008607991,0.006,0.00115384615384615
"78",0.006,0.77,0.858,0.665,0.6119194,0,0.0761521602789575,0.00532265951645769,0.858,0.665,0.0653385535193455,0.00353956857844436,0.0628781220977899,0.0165052223648959,0.0125966976976253,0.00292259642151675,0.006,0.00115384615384615
"79",0.006,0.78,0.858,0.665,0.6119194,0,0.0763302578988772,0.0050907787004113,0.858,0.665,0.0654913612772366,0.00338536783577351,0.0628767291130102,0.0165465217589205,0.0125443074862783,0.00292943151936231,0.006,0.00115384615384615
"80",0.006,0.79,0.858,0.665,0.6119194,0,0.0765083232804563,0.00485893985827067,0.858,0.665,0.0656441413746315,0.00323119500575,0.0628753363803816,0.0165878136771354,0.0124919267583455,0.00293626537995265,0.006,0.00115384615384615
"81",0.006,0.8,0.858,0.665,0.6119194,0,0.0766863564324477,0.00462714297863998,0.858,0.665,0.0657968938190401,0.00307705008079559,0.0628739438998358,0.0166290981215701,0.012439555511252,0.00294309800362367,0.006,0.00115384615384615
"82",0.006,0.81,0.858,0.665,0.6119194,0,0.0768643573636007,0.00439538805012752,0.858,0.665,0.0659496186179694,0.0029229330533348,0.0628725516713042,0.0166703750942537,0.012387193742424,0.00294992939071116,0.006,0.00115384615384615
