"","G","fV","betaV","betaH","kstarN","phi","Protein_intake","Lipid_intake","protein_absorption_efficiency","lipid_absorption_efficiency","protein_absorption","lipid_absorption","Respiration","Excretion","Pellet_C","Pellet_N","Growth_G","Growth_N"
"89",0.0043,0.88,0.796,0.612,0.9670608,1e-05,0.0567934492012588,0.00281033535326647,0.796,0.612,0.045207585564202,0.00171992523619908,0.042627510800401,0.0113913432917802,0.0126762737541242,0.00313131449650184,0.0043,0.000826923076923077
"90",0.0043,0.89,0.796,0.612,0.9670608,1e-05,0.0569718878071825,0.002575880226069,0.796,0.612,0.0453496226945172,0.00157643869835423,0.0426260613928713,0.0114297317053788,0.01262170664038,0.00314115273315276,0.0043,0.000826923076923077
"91",0.0043,0.9,0.796,0.612,0.9670608,1e-05,0.0571502903272432,0.00234147251302535,0.796,0.612,0.0454916311004856,0.00143298117797151,0.0426246122784571,0.0114681123556406,0.0125671505618115,0.00315098898020476,0.0043,0.000826923076923077
"92",0.0043,0.91,0.796,0.612,0.9670608,1e-05,0.057328656772387,0.00210711219975405,0.796,0.612,0.0456336107908201,0.00128955266624948,0.0426231634570695,0.0115064852449202,0.0125126055150715,0.00316082323826134,0.0043,0.000826923076923077
"93",0.0043,0.92,0.796,0.612,0.9670608,1e-05,0.0575069871535545,0.00187279927187943,0.796,0.612,0.0457755617742294,0.00114615315439021,0.0426217149286197,0.0115448503755714,0.0124580714968143,0.00317065550792571,0.0043,0.000826923076923077
"94",0.0043,0.93,0.796,0.612,0.9670608,1e-05,0.0576852814816825,0.00163853371503164,0.796,0.612,0.0459174840594193,0.00100278263359937,0.0426202666930187,0.011583207749947,0.0124035485036955,0.00318048578980087,0.0043,0.000826923076923077
"95",0.0043,0.94,0.796,0.612,0.9670608,1e-05,0.057863539767703,0.00140431551484664,0.796,0.612,0.0460593776550916,0.000859441095086146,0.0426188187501778,0.011621557370399,0.0123490365323719,0.00319031408448957,0.0043,0.000826923076923077
"96",0.0043,0.95,0.796,0.612,0.9670608,1e-05,0.0580417620225438,0.00117014465696619,0.796,0.612,0.0462012425699449,0.00071612853006331,0.0426173711000082,0.0116598992392782,0.0122945355795018,0.00320014039259431,0.0043,0.000826923076923077
"97",0.0043,0.96,0.796,0.612,0.9670608,1e-05,0.058219948257128,0.000936021127037856,0.796,0.612,0.0463430788126739,0.000572844929747168,0.0426159237424212,0.0116982333589348,0.0122400456417448,0.00320996471471733,0.0043,0.000826923076923077
"98",0.0043,0.97,0.796,0.612,0.9670608,1e-05,0.058398098482375,0.000701944910715006,0.796,0.612,0.0464848863919705,0.000429590285357584,0.0426144766773281,0.0117365597317176,0.0121855667157619,0.00321978705146068,0.0043,0.000826923076923077
